NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company,Market_Type,Per_Share _Holds,Performance_Category
LA CRUZADA TAQUERIA INC,HOMESTEAD,FL,33030,6022.0,12086.0,MIAMI-DADE,4992.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,136565.1657,111786.600877519,24778.5648224809,23907.6135106186,13064.2696779337,28451.0761875,25649.5161343431,0.2199234888732844,LSR,21.99,Study
SPORT LOUNGE,MIAMI BEACH,FL,33141,2916.0,12086.0,MIAMI-DADE,4992.0,NIGHTLIFE VENUES,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,others,,NoShare
QUIZNOS,SUNRISE,FL,33323,3209.0,12011.0,BROWARD,4992.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,128657.8647,110118.117526244,18539.7471737564,20657.6984237385,19368.5107063581,28208.6550541095,27118.9844834665,0.5304258195049693,LSR,53.04,Attention
HAMPTON INN,TAMPA,FL,33605,3812.0,12057.0,HILLSBOROUGH,8280.0,2* HOTELS WITHOUT RESTAURANT-MIDSCALE,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",NOT APPLICABLE,251 - 500,,,,,,,,,Star Hotels,,NoShare
QUICK FOOD MART AND DELI,LAKELAND,FL,33811,2356.0,12105.0,POLK,3980.0,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,86270.6133,75836.1154776399,10434.4978223601,11859.0336120215,12140.3113794068,15842.2897372528,27601.5151092343,0.4212765292897358,LSR,42.13,Attention
DOMERS BAR & GRILL,WILLIAMSPORT,PA,17701,2409.0,42081.0,LYCOMING,9140.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","BAR & GRILL, BREW PUB, & EATERTAINMENT",BAR & GRILL,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,114038.540299739,106037.073606266,8001.46669347258,14775.1951112272,18528.9696093995,23143.5720939948,40176.6766778068,0.8323527593328788,FSR,83.24,Apex
PAPA JOHN'S,TARPON SPRINGS,FL,34689,5446.0,12103.0,PINELLAS,8280.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,288287.3754,235980.131585395,52307.2438146046,50468.6763694515,27578.5116772959,60059.869875,54145.8112597577,0.9706970812476439,LSR,97.07,Apex
PAPA JOHN'S,DECATUR,GA,30030,4728.0,13089.0,DEKALB,520.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,291844.4985,238891.845551499,52952.6529485013,51091.3997692921,27918.7976881378,60800.9371875,54813.9061277104,0.48787920165717313,LSR,48.79,Attention
TRILOGY DINING SPIRITS AND ENTERTAINMENT,MARIETTA,GA,30060,3125.0,13067.0,COBB,520.0,LSR - QUICK CASUAL,AMERICAN AND AMERICAN TRADITIONAL,AMERICAN TRADITIONAL,INDEPENDENT (1-9 UNITS),OVER 50,5 YEARS PLUS,"$1,000,001 - $2,500,000",$7 TO $10,NOT APPLICABLE,865992.4182,752968.03630464,113024.38189536,104710.85468064,147664.07862336,125395.70215536,300177.71478864,0.496482760216033,LSR,49.65,Attention
CAPTAIN D'S SEAFOOD KITCHEN,LOCUST GROVE,GA,30248,3650.0,13151.0,HENRY,520.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","STEAK, SEAFOOD & FISH",SEAFOOD & FISH,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,329717.1825,276129.899768638,53587.2827313625,51703.7227056555,28253.4003856041,61529.6275064267,89845.8132262211,0.6789238452361046,LSR,67.89,Focus
MARICELAS MEXICAN GRILL,SANDERSVILLE,GA,31082,7553.0,13303.0,WASHINGTON,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",$10 TO $15,NOT APPLICABLE,191695.331945798,179996.343644076,11698.9883017221,28749.8767339106,37131.5715663354,26693.1547829463,71144.8872715312,0.12379794451256743,FSR,12.38,Study
HOLIDAY INN,COLUMBUS,GA,31909,2538.0,13215.0,MUSCOGEE,1800.0,2* HOTELS WITHOUT RESTAURANT-MIDSCALE,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,501+ UNITS,20 TO 49,5 YEARS PLUS,">$5,000,000",NOT APPLICABLE,101 - 250,,,,,,,,,Star Hotels,,NoShare
LEMARS CAFE,LE MARS,IA,51031,1918.0,19149.0,PLYMOUTH,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,161055.128529327,146957.268974285,14097.8595550419,19762.8371511124,25962.9429240104,33547.0008783588,57332.5257035539,0.49879500522483977,FSR,49.88,Attention
KAMEHACHI OF TOKYO,NORTHBROOK,IL,60062,4537.0,17031.0,COOK,1602.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,SUSHI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,99692.9150096831,93608.7488767664,6084.16613291675,14951.6369996064,19310.6142479532,13882.019891173,36999.5509444105,0.460109104155106,FSR,46.01,Attention
EL SOMBRERITO,EAST PEORIA,IL,61611,1346.0,17179.0,TAZEWELL,6120.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$10 TO $15,NOT APPLICABLE,180346.683257193,169340.292458502,11006.3907986912,27047.8412822279,34933.3273175851,25112.8803289608,66933.0041576363,0.10583528715208335,FSR,10.58,Study
