NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company,Market_Type,Per_Share _Holds,Performance_Category
WEST END PUB,DALLAS,TX,75202,1712.0,48113.0,DALLAS,1922.0,"BREWPUBS, ENGLISH AND IRISH PUBS, MICRO-BREWERY, WITH LIMITED FOOD",SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,others,,NoShare
TILDEN SEAFOOD,LITCHFIELD,CT,6759,3434.0,9005.0,LITCHFIELD,3280.0,FSR - UPSCALE CASUAL DINING RESTAURANTS,"STEAK, SEAFOOD & FISH",SEAFOOD & FISH,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$30 TO $50,NOT APPLICABLE,96090.5044398212,90677.2937490451,5413.21069077611,9022.01781796018,16612.5421421373,12859.3827298659,46770.1403683056,0.4840822556481409,FSR,48.41,Attention
ANAMAR RESTAURANT,SAN FERNANDO,CA,91340,3514.0,6037.0,LOS ANGELES,4472.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,42419.7065703554,38706.5241895406,3713.18238081479,5205.25959404796,6838.2822117885,8835.81880670326,15100.5990277376,0.8314120156307734,FSR,83.14,Apex
BYTES & COFFEE,CHICAGO,IL,60657,4400.0,17031.0,COOK,1602.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,100337.937,70136.217963,30201.719037,27091.24299,12943.593873,12040.55244,0.0,0.4903975696425218,LSR,49.04,Attention
JUMPIN' JUICE & JAVA,RICHMOND,VA,23229,6323.0,51087.0,HENRICO,6760.0,"LSR - SMOOTHIE, JUICE",BEVERAGES,SMOOTHIE / JUICE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,64197.2982,44873.9114418,19323.3867582,17333.270514,8281.4514678,7703.675784,0.0,0.10921723678397421,LSR,10.92,Study
SUBWAY,TEMPE,AZ,85281,5605.0,4013.0,MARICOPA,6200.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,140672.5785,120401.497165394,20271.0813346058,22586.8174473339,21177.2389439342,30842.9201101038,29651.4906608016,0.061363176162104294,LSR,6.14,Study
GINZA SUSHI,BELVEDERE TIBURON,CA,94920,2555.0,6041.0,MARIN,7362.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,81932.3451615036,76932.0901326117,5000.25502889195,12287.9613186381,15870.3746569179,11408.8994704586,30407.9781246605,0.8077340273287036,FSR,80.77,Apex
PHO SAIGON,PORT HUENEME,CA,93041,2647.0,6111.0,VENTURA,4472.0,LSR - DELIVERY AND TAKE AWAY ONLY,OTHER ASIAN,VIETNAMESE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,88203.1032,77213.5507969664,10989.5524030336,12489.8652093608,10129.5004758397,16685.0073875623,29069.7551391549,0.42957935272148784,LSR,42.96,Attention
TOWN PLACE HOTEL,NEWBURY PARK,CA,91320,3403.0,6111.0,VENTURA,4472.0,2* HOTELS WITHOUT RESTAURANT-MIDSCALE,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",NOT APPLICABLE,101 - 250,,,,,,,,,Star Hotels,,NoShare
LITTLE CAESARS,POINT PLEASANT,WV,25550,1140.0,54053.0,MASON,,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,158076.279,129394.709245217,28681.5697547832,27673.4302203444,15122.0930165816,32932.558125,29689.7092892219,0.4973596596857246,LSR,49.74,Attention
BENNYS PIZZERIA,KINGSTON,NY,12401,1929.0,36111.0,ULSTER,,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,196099.152796428,180421.672226427,15677.4805700009,31728.2344869066,26129.1342833349,34098.520239752,57857.3687702415,0.7291100875679899,LSR,72.91,Focus
PANE E VINO,NEW YORK,NY,10065,8162.0,36061.0,NEW YORK,5602.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,116626.861673843,108047.898173156,8578.96350068713,15833.3251333028,19361.470295923,16093.2937242327,44826.0127503436,0.5584887587685061,FSR,55.85,Attention
HAMPTON INN,GREENFIELD,IN,46140,7069.0,18059.0,HANCOCK,3480.0,2* HOTELS WITHOUT RESTAURANT-MIDSCALE,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,501+ UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",NOT APPLICABLE,101 - 250,,,,,,,,,Star Hotels,,NoShare
POTBELLY SANDWICH SHOP,ASHBURN,VA,20147,5887.0,51107.0,LOUDOUN,8872.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,101-250 UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,79335.0369,67902.7662838483,11432.2706161517,12738.2750408446,11943.3158258142,17394.4647288799,16722.5349161756,0.5932021431204391,LSR,59.32,Attention
BBQ 4 U CATERING INC,BAKERSFIELD,CA,93308,5853.0,6029.0,KERN,680.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",BBQ,BARBECUE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$1,000,001 - $2,500,000",$15 TO $20,NOT APPLICABLE,330726.364932415,310542.4416457,20183.9232867152,49601.323766975,64062.01738827,46052.9213744145,122744.198891045,0.49685029846209416,FSR,49.69,Attention
GLACIER HOMEMADE ICE CREAM AND GELATO,LONGMONT,CO,80501,7441.0,8013.0,BOULDER,2082.0,"LSR - ICE CREAM PARLORS, FROZEN DESSERTS",FROZEN DESSERT,ICE CREAM / DAIRY,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,25659.9378,21015.4890582,4644.4487418,3592.391292,3310.1319762,9494.176986,0.0,0.05069049074083609,LSR,5.07,Study
STARBUCKS,NORFOLK,VA,23521,2620.0,51710.0,NORFOLK CITY,5720.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,193611.8394,135334.6757406,58277.1636594,52275.196638,24975.9272826,23233.420728,0.0,0.7116452537326003,LSR,71.16,Focus
STARBUCKS,MIRAMAR BEACH,FL,32550,4191.0,12131.0,WALTON,,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,282492.0,197461.908,85030.092,76272.84,36441.468,33899.04,0.0,0.26307494406036636,LSR,26.31,Study
STARBUCKS,ITHACA,NY,14850,6710.0,36109.0,TOMPKINS,,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,233991.345,163559.950155,70431.394845,63177.66315,30184.883505,28078.9614,0.0,0.44434312168021006,LSR,44.43,Attention
STARBUCKS,SONORA,CA,95370,2815.0,6109.0,TUOLUMNE,,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,195748.1232,136827.9381168,58920.1850832,52851.993264,25251.5078928,23489.774784,0.0,0.5565678504936713,LSR,55.66,Attention
STARBUCKS,MURFREESBORO,TN,37129,3363.0,47149.0,RUTHERFORD,5360.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,184421.6808,128910.7548792,55510.9259208,49793.853816,23790.3968232,22130.601696,0.0,0.34459570770462067,LSR,34.46,Study
BULLY'S,WICHITA FALLS,TX,76310,6930.0,48485.0,WICHITA,9080.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,222699.182413193,206317.637628951,16381.5447842419,30233.7601429226,36970.7590801649,30730.1705909299,85595.3443921209,0.7092780931016438,FSR,70.93,Focus
OKOBOJI GRILL,DES MOINES,IA,50320,1703.0,19153.0,POLK,2120.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","BAR & GRILL, BREW PUB, & EATERTAINMENT",BAR & GRILL,INDEPENDENT (1-9 UNITS),OVER 50,5 YEARS PLUS,"$1,000,001 - $2,500,000",$15 TO $20,NOT APPLICABLE,651984.684363446,606238.450477285,45746.2338861619,84473.2043718016,105934.400515927,132317.149159269,229699.34369295,0.26377952467292887,FSR,26.38,Study
EL PAISSA RESTAURANT,BOSTON,MA,2128,1139.0,25025.0,SUFFOLK,1122.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",LATIN AMERICAN,OTHER LATIN AMERICA,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$10 TO $15,NOT APPLICABLE,388044.115602126,364362.143157095,23681.9724450305,58197.6638535721,75164.5212385751,54034.2925163551,144016.834320724,0.1927033175546644,FSR,19.27,Study
CHIPOTLE MEXICAN GRILL,GLEN ELLYN,IL,60137,5817.0,17043.0,DU PAGE,1602.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$7 TO $10,NOT APPLICABLE,642627.7506,577795.549861557,64832.2007384435,103868.732188363,98517.5029210633,109425.777965944,212334.033106331,0.8400161895629293,LSR,84.0,Apex
EL POLLO LOCO,SAN BERNARDINO,CA,92408,4204.0,6071.0,SAN BERNARDINO,4472.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,251-500 UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,449255.151,403931.555644497,45323.5953555034,72613.6755219387,68872.6803497384,76498.555123839,148440.769973844,0.18658531171328951,LSR,18.66,Study
JACK IN THE BOX,FONTANA,CA,92336,231.0,6071.0,SAN BERNARDINO,4472.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,456416.6535,382237.5401491,74179.1133508997,71571.7631452442,39110.2530848329,85173.4400514139,124370.604809769,0.3506438418867417,LSR,35.06,Study
TACO BELL,CHILLICOTHE,OH,45601,1169.0,39141.0,ROSS,,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",MEXICAN,MEXICAN,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,438286.6503,358763.339068909,79523.3112310905,76728.1157572385,41927.9321077806,91309.7188125,82318.5067049426,0.9095359203723832,LSR,90.95,Apex
TACO BELL,AUSTIN,TX,78748,1752.0,48453.0,TRAVIS,640.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",MEXICAN,MEXICAN,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,438286.6503,358763.339068909,79523.3112310905,76728.1157572385,41927.9321077806,91309.7188125,82318.5067049426,0.45806018475396293,LSR,45.81,Attention
TELLOS GRILL & CAFE,PORT WASHINGTON,WI,53074,2252.0,55089.0,OZAUKEE,5082.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,50608.0631532769,47519.5000005216,3088.56315275536,7590.04177425704,9802.83087613659,7047.06186271403,18782.4341444499,0.27006187188528874,FSR,27.01,Study
BONEFISH GRILL,NEW PORT RICHEY,FL,34655,2217.0,12101.0,PASCO,8280.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","STEAK, SEAFOOD & FISH",SEAFOOD & FISH,101-250 UNITS,OVER 50,5 YEARS PLUS,"$2,500,001 - $5,000,000",$20 TO $30,NOT APPLICABLE,857945.98039252,803554.308780945,54391.6716115748,111487.901480079,149852.56119874,142840.743495591,344480.586873307,0.707503042573303,FSR,70.75,Focus
HANG OUT,SANTA MARIA,CA,93455,5065.0,6083.0,SANTA BARBARA,7480.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,30904.6248,21602.3327352,9302.2920648,8344.248696,3986.6965992,3708.554976,0.0,0.34580820961629366,LSR,34.58,Study
GREG'S WEST END SALOON,ALLENTOWN,PA,18104,4115.0,42077.0,LEHIGH,240.0,NEIGHBORHOOD BARS & TAVERNS,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,others,,NoShare
M G C BURRITOS & HILDA'S CAKES,ODESSA,TX,79763,7873.0,48135.0,ECTOR,5800.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,323375.733,264702.011036671,58673.7219633291,56611.3767273597,30935.1785395408,67369.944375,60736.0671992985,0.2786045400153295,LSR,27.86,Study
ASUKA JAPANESE STEAK HOUSE,SPRING HILL,TN,37174,4209.0,47187.0,WILLIAMSON,,FSR - UPSCALE CASUAL DINING RESTAURANTS,OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$30 TO $50,NOT APPLICABLE,46541.2556018829,42880.8954922036,3660.36010967932,6104.3200609591,9452.21040517799,9033.72411215063,14384.7688456605,0.04521974648139293,FSR,4.52,Study
PIZZA HUT,KEENE,NH,3431,3940.0,33005.0,CHESHIRE,,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,277645.2309,227268.911900606,50376.3189993941,48605.6223737564,26560.4493845663,57842.7564375,52147.0156250319,0.7254228747213562,LSR,72.54,Focus
IMO'S PIZZA,DE SOTO,MO,63020,1031.0,29099.0,JEFFERSON,7040.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,51-100 UNITS,5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,198729.3042,162671.595625446,36057.7085745536,34790.3022977679,19011.0941517857,41401.938375,37325.1148513393,0.671844420938833,LSR,67.18,Focus
LA RUMBA MEXICAN RESTAURANT,ATLANTA,GA,30345,1003.0,13089.0,DEKALB,520.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,134676.200017556,126457.036449341,8219.16356821492,20198.3225683921,26086.9104556387,18753.3656461917,49983.0797711671,0.42124219813102204,FSR,42.12,Attention
MONKEY BUSINESS SCRAPBOOK LOUNGE,ERIE,PA,16506,2549.0,42049.0,ERIE,2360.0,NIGHTLIFE VENUES,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,others,,NoShare
SHEA'S AMERICAN GRILL LLC,MANCHESTER,CT,6042,1762.0,9003.0,HARTFORD,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",AMERICAN AND AMERICAN TRADITIONAL,AMERICAN TRADITIONAL,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",$10 TO $15,NOT APPLICABLE,203619.462346996,184726.231751825,18893.2305951713,28783.1888489613,30829.3871083661,38286.6429870859,68070.195429534,0.10090231144343842,FSR,10.09,Study
ZUPPA RESTAURANT,YONKERS,NY,10701,2739.0,36119.0,WESTCHESTER,5602.0,FSR - FINE DINING RESTAURANTS,CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$50 TO $75,NOT APPLICABLE,262438.026062753,246335.390311353,16102.6357513997,28584.5605054432,51483.9695325817,36969.3649203732,113417.183961042,0.948431207429216,FSR,94.84,Apex
BLASDELL PIZZA,SPRINGVILLE,NY,14141,9226.0,36029.0,ERIE,1280.0,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,181307.035550828,166812.135973147,14494.8995776811,29334.9158119737,24158.1659628019,31526.4065814565,53493.0817747756,0.2719094434905954,LSR,27.19,Study
EDGAR'S BISTRO,MACON,GA,31206,5309.0,13021.0,BIBB,4680.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",EUROPEAN,FRENCH,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$15 TO $20,NOT APPLICABLE,402057.318579492,377520.133354694,24537.1852247983,60299.3209683133,77878.8922352293,55985.6003144263,149217.627350049,0.8575038255634994,FSR,85.75,Apex
MOE'S SOUTHWEST GRILL,SUNRISE,FL,33323,3209.0,12011.0,BROWARD,4992.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,251-500 UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,318002.7978,285920.739091662,32082.0587083378,51399.1924702893,48751.1495292836,54149.0832167183,105072.985928366,0.3693307024066872,LSR,36.93,Study
LA SALSA FRESH MEXICAN GRILL,MORRISVILLE,NC,27560,8819.0,37183.0,WAKE,6640.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,51-100 UNITS,5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,201677.3316,181330.894281542,20346.4373184584,32597.3609525355,30917.9724754564,34341.3412941177,66637.2735456389,0.7600420313258388,LSR,76.0,Apex
SEE THRU CHINESE KITCHEN,CHICAGO,IL,60644,4142.0,17031.0,COOK,1602.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,65375.6265098996,61385.8126631372,3989.81384676245,9804.83554024798,12663.3222092895,9103.41269006101,24263.1968715214,0.2002355718776081,FSR,20.02,Study
SNEAKER'S SPORTS BAR & GRILL,DULUTH,MN,55802,,27137.0,SAINT LOUIS,2240.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","BAR & GRILL, BREW PUB, & EATERTAINMENT",BAR & GRILL,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,110581.95690235,102823.019943603,7758.93695874674,14327.3491989556,17967.3443154047,22442.075154047,38958.8950997389,0.13053619811934225,FSR,13.05,Study
HONG KONG BISTRO,CHANDLER,AZ,85249,4553.0,4013.0,MARICOPA,6200.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",EUROPEAN,FRENCH,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,59392.7389370203,55768.0551694056,3624.68376761464,8907.54044971462,11504.431088516,8270.30870985042,22042.7366359476,0.817760485590813,FSR,81.78,Apex
SUBWAY,FEDERAL WAY,WA,98003,6802.0,53033.0,KING,7602.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,140672.5785,120401.497165394,20271.0813346058,22586.8174473339,21177.2389439342,30842.9201101038,29651.4906608016,0.04627593216705628,LSR,4.63,Study
TERRACE DINER,BAYSIDE,NY,11360,1943.0,36081.0,QUEENS,5602.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,106948.362646634,97586.7048714244,9361.65777520948,13123.475755562,17240.644620052,22276.8243917943,38071.5585177694,0.23256107916732072,FSR,23.26,Study
DIAMONDS CAFE & CATERING,SALEM,MA,1970,7309.0,25009.0,ESSEX,1122.0,"EVENT CATERING, PARTY SERVICE",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,others,,NoShare
HUNAN CAFE NO 2,SAN FRANCISCO,CA,94121,3212.0,6075.0,SAN FRANCISCO,7362.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,102711.267587208,93475.3392123077,9235.92837490029,13369.8889175499,15943.6494757835,19485.4173236182,35269.6303046439,0.05505746044369286,FSR,5.51,Study
ME RODEO MEXICAN GRILL,COLONIAL HEIGHTS,VA,23834,2314.0,51570.0,COLONIAL HEIGHTS CITY,6760.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,75636.9165652037,71020.8657042216,4616.05086098209,11343.7922859673,14650.9440370301,10532.2748378174,28071.5229107361,0.1321210427543662,FSR,13.21,Study
MOTOWN PIZZA & SUBS,MORLEY,MI,49336,9205.0,26107.0,MECOSTA,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,42521.5863985341,39393.7380412277,3127.84835730646,5772.75331745305,7059.09787998168,5867.53660100779,16343.3461786532,0.616049033004975,FSR,61.6,Focus
OLIVE GARDEN,LOUISVILLE,KY,40241,2833.0,21111.0,JEFFERSON,4520.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,501+ UNITS,OVER 50,5 YEARS PLUS,"$2,500,001 - $5,000,000",$10 TO $15,NOT APPLICABLE,1286774.17704627,1192120.26507375,94653.9119725149,174693.150667888,213620.084163078,177561.451030692,494576.933986257,0.16163925636667165,FSR,16.16,Study
WHITE DOVE COFFEE SHOP,FLAGSTAFF,AZ,86004,3716.0,4005.0,COCONINO,2620.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,31461.6792,21991.7137608,9469.9654392,8494.653384,4058.5566168,3775.401504,0.0,0.5041675278362964,LSR,50.42,Attention
ARSENIO'S MEXICAN FOOD,SANTA ANA,CA,92704,2336.0,6059.0,ORANGE,4472.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,81199.2943974808,76243.7767767762,4955.51762070459,12178.0206179886,15728.3820135406,11306.823758394,30135.9171754379,0.9851460545381097,FSR,98.51,Apex
OLD TOWN BISTRO,ROCK HILL,SC,29730,4551.0,45091.0,YORK,1520.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",EUROPEAN,FRENCH,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,143152.880829128,134416.393293525,8736.48753560323,21469.629104507,27728.8517434363,19933.7248685692,53129.0744839992,0.5034647101896694,FSR,50.35,Attention
WHATABURGER,HUMBLE,TX,77338,4012.0,48201.0,HARRIS,3362.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,507488.652,425009.062457584,82479.5895424164,79580.4827043702,43486.6025706941,94704.1567095116,138287.396174807,0.4965885071362627,LSR,49.66,Attention
